Date,GMSL,CO2 conc.,CO2 emissions,Long-run NO2 concentration,Per-capita NO2 emissions in CO2 equivalents,Long-run CH4 concentration,Per-capita methane emissions in CO2 equivalents,Global avg temp. anomaly relative to 1961-1990,Sea surface temperature anomaly (relative to 1961-90 average),Sea surface temperature anomaly (relative to 1961-90 average) trend,Sea surface temperature anomaly (relative to 1961-90 average) anomaly,Nino 1.2,Nino 3,Nino 3.4,Nino 3.4 trend,Nino 4,North Sea Ice Extent Avg,North Sea Ice Extent Min,South Sea Ice Extent Avg trend ,South Sea Ice Extent Max,South Sea Ice Extent Max trend,South Sea Ice Extent Min,South Sea Ice Extent Avg,South Sea Ice Extent Avg Raw,South Sea Ice Extent Raw Avg trend
30/09/1882,-190.8307292,291.9424622,977639126.7,276.07,0.170144667,848.0866667,1.105713167,-0.32949296,-0.238133333,-0.574029817,-0.420666667,19.94,24.43,26.24,-0.805591273,28.08,17.46659916,15.14723404,10.99136661,18.79309323,17.22215592,3.735292014,12.22602905,12.28785979,10.72176195
31/10/1882,-190.7369788,292.0728292,982607985,276.0825,0.17015625,848.1775,1.1061816,-0.33373832,-0.24095,-0.574222769,-0.43025,20.55,24.3,26.08,-0.805079938,28.11,17.46230266,15.14074931,10.99179337,18.79285461,17.22305752,3.734771045,12.22553538,12.28764163,10.72267094
30/11/1882,-190.6432283,292.2031961,987576843.3,276.095,0.170167833,848.2683333,1.106650033,-0.33798368,-0.243766667,-0.57441572,-0.439833333,21,24.09,25.74,-0.804568603,27.81,17.45800615,15.13426457,10.99222013,18.79261599,17.22395912,3.734250077,12.22504172,12.28742346,10.72357993
31/12/1882,-190.5494779,292.3335631,992545701.7,276.1075,0.170179417,848.3591667,1.107118467,-0.34222904,-0.246583333,-0.574608671,-0.449416667,21.93,24.32,25.83,-0.804057268,27.74,17.45370965,15.12777984,10.99264688,18.79237738,17.22486072,3.733729109,12.22454806,12.2872053,10.72448891
31/01/1883,-190.4557275,292.46393,997514560,276.12,0.170191,848.45,1.1075869,-0.3464744,-0.2494,-0.574801622,-0.459,23.5,24.79,26.12,-0.803545933,28,17.44941314,15.1212951,10.99307364,18.79213876,17.22576232,3.733208141,12.22405439,12.28698714,10.7253979
28/02/1883,-188.4675333,292.2164775,998507496.7,276.1333333,0.170188167,848.54,1.1076012,-0.358628205,-0.258191667,-0.574994573,-0.469833333,25.23,25.66,26.27,-0.803034598,27.95,17.44511663,15.11481036,10.9935004,18.79190014,17.22666392,3.732687172,12.22356073,12.28676897,10.72630688
31/03/1883,-186.4793392,291.969025,999500433.3,276.1466667,0.170185333,848.63,1.1076155,-0.37078201,-0.266983333,-0.575187524,-0.480666667,25.67,26.57,26.86,-0.802523264,28.05,17.44082013,15.10832563,10.99392716,18.79166153,17.22756552,3.732166204,12.22306707,12.28655081,10.72721587
30/04/1883,-184.491145,291.7215725,1000493370,276.16,0.1701825,848.72,1.1076298,-0.382935815,-0.275775,-0.575380475,-0.4915,25.13,27.17,27.54,-0.802011929,28.27,17.43652362,15.10184089,10.99435391,18.79142291,17.22846712,3.731645236,12.2225734,12.28633265,10.72812485
31/05/1883,-182.5029508,291.47412,1001486307,276.1733333,0.170179667,848.81,1.1076441,-0.39508962,-0.284566667,-0.575573427,-0.502333333,24.29,26.63,27.49,-0.801500594,28.43,17.43222712,15.09535615,10.99478067,18.79118429,17.22936873,3.731124268,12.22207974,12.28611448,10.72903384
30/06/1883,-180.5147567,291.2266675,1002479243,276.1866667,0.170176833,848.9,1.1076584,-0.407243425,-0.293358333,-0.575766378,-0.513166667,23.01,26.37,27.48,-0.800989259,28.43,17.42793061,15.08887142,10.99520743,18.79094568,17.23027033,3.730603299,12.22158608,12.28589632,10.72994282
